Date,Name,Nationality,Cause of death
1/15/1993,Ang Tshering,Nepal,Fall
5/23/1992,Manabu Hoshi,Japan,Disappearance (likely accidental death during climb)
5/23/1992,Sher Singh,India,Fall
5/11/1992,Subba Singh,Nepal,Heart attack
5/2/1992,Raymond Jacob,India,Exposure
5/2/1992,Deepak Kulkarni,India,Exposure
5/27/1991,Junichi Futagami,Japan,Fall
5/3/1991,Rüdiger Lang,Germany,Exposure
10/7/1990,Ham Sang-hun,South Korea,Disappearance (likely accidental death during climb)
9/14/1990,Badri Nath,Nepal,Avalanche
9/14/1990,Ang Sona,Nepal,Avalanche
9/14/1990,Rafael Gómez-Menor,Spain,Avalanche
12/12/1989,Ang Pinjo,Nepal,"Altitude sickness, heart attack"
5/28/1989,Eugeniusz Chrobak,Poland,Avalanche injuries
5/27/1989,Wacław Otręba,Poland,Avalanche
5/27/1989,Andrzej Heinrich,Poland,Avalanche
5/27/1989,Mirosław Gardzielewski,Poland,Avalanche
5/27/1989,Mirosław Dąsal,Poland,Avalanche
5/16/1989,Phu Dorje,Nepal,Fall
5/10/1989,Dimitar Ilievski-Murato,Yugoslavia,Fall
12/23/1988,Ang Lhakpa,Nepal,Cerebral thrombosis
10/17/1988,Jozef Just,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76]
10/17/1988,Jaroslav Jaško,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76]
10/17/1988,Peter Božík,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76]
10/17/1988,Dušan Becík,Czechoslovakia,Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76]
10/13/1988,Pasang Temba,Nepal,Fall
10/13/1988,Lhakpa Sonam,Nepal,Fall
9/21/1988,Narayan Shrestha,Nepal,Avalanche
9/20/1988,Michel Parmentier,France,Exposure
4/21/1988,Hidetaka Mizukoshi,Japan,Heart attack (at Base camp)
10/20/1987,Mangal Singh,Nepal,Avalanche
9/2/1987,Masao Yokoyama,Japan,Drowned
5/21/1987,Roger Marshall,Canada,Disappearance (likely accidental death during descent)
1/30/1987,Tsuttin Dorje,Nepal,Fall
10/17/1986,Dawa Norbu,Nepal,Avalanche
